life_history,aversion,scenario,xt_0.25,xt_0.5,xt_1.0,xt_2.0
Intermediate life history,Bankruptcy,Base risk,3.427329975704908,3.4612723985814005,3.5047636986293247,3.437994410028993
Intermediate life history,Bankruptcy,High frequency,3.479267067489575,3.5902834621305573,3.640877691759057,3.582358090749258
Intermediate life history,Bankruptcy,High mortality,4.244341029840356,4.274417151374112,4.343290789414059,4.328494966583051
Intermediate life history,Bankruptcy,High recurrence,2.377834487951792,2.411615963606798,2.456632225928382,2.472080943588327
Intermediate life history,Risk-averse,Base risk,4.191050980491143,4.314575964433007,4.460864847172235,4.258859176219261
Intermediate life history,Risk-averse,High frequency,6.957847094371476,7.2084773914753475,7.416478996708807,6.984855582726509
Intermediate life history,Risk-averse,High mortality,7.816545354667559,8.076184892615546,8.269666412127744,7.774039194500607
Intermediate life history,Risk-averse,High recurrence,6.998932622013722,7.233476755001202,7.44695744884655,7.090765353544453
Fast life history,Bankruptcy,Base risk,2.217089956466161,2.091300220958686,1.9786618147020165,1.8802126747097045
Fast life history,Bankruptcy,High frequency,2.560798838246101,2.463552668423615,2.2826035699902816,2.144888902994991
Fast life history,Bankruptcy,High mortality,3.0418297033603428,2.9505748136571595,2.8665849323819095,2.719655985336209
Fast life history,Bankruptcy,High recurrence,2.514231110303765,2.438076844821937,2.4299067597018156,2.3134344270978606
Fast life history,Risk-averse,Base risk,2.4871915489399923,2.563379879489732,2.687541798089129,2.6170580549780693
Fast life history,Risk-averse,High frequency,3.4029013295422663,3.522593318776728,3.671166779366818,3.5124397135613066
Fast life history,Risk-averse,High mortality,3.5896888832253087,3.7275023729340653,3.8901609150759304,3.732193116948989
Fast life history,Risk-averse,High recurrence,3.4085342630023137,3.533633895811112,3.7134277131780613,3.631751798849161
Slow life history,Bankruptcy,Base risk,2.4771802022054628,2.5039948624972017,2.525418824708441,2.5222032579858866
Slow life history,Bankruptcy,High frequency,1.7400932731960492,1.8218522053360182,1.8678827061215189,1.8964305045562482
Slow life history,Bankruptcy,High mortality,2.1572388863367804,2.179864862333624,2.198115307922035,2.207912279370484
Slow life history,Bankruptcy,High recurrence,0.99409411639219,1.015641514706388,1.0323434872823742,1.0425855341443027
Slow life history,Risk-averse,Base risk,8.880199178909809,9.105104487019117,9.350851362142922,8.92201047238473
Slow life history,Risk-averse,High frequency,13.741445525012127,14.254142868245923,14.510122712724726,13.663782973168933
Slow life history,Risk-averse,High mortality,13.36797897699229,13.764284736364843,13.997676234259092,13.17200369872597
Slow life history,Risk-averse,High recurrence,12.9806092065836,13.364840381430074,13.62832273191166,12.861816427143625
