life_history,aversion,scenario,params,xt,pct_increase
Intermediate life history,Bankruptcy,Base risk,no_RA_intermidiate,0.25,3.427329975704908
Intermediate life history,Bankruptcy,Base risk,no_RA_intermidiate,0.5,3.4612723985814005
Intermediate life history,Bankruptcy,Base risk,no_RA_intermidiate,1.0,3.5047636986293247
Intermediate life history,Bankruptcy,Base risk,no_RA_intermidiate,2.0,3.437994410028993
Intermediate life history,Bankruptcy,High frequency,no_RA_intermidiate_higher_frequency,0.25,3.479267067489575
Intermediate life history,Bankruptcy,High frequency,no_RA_intermidiate_higher_frequency,0.5,3.5902834621305573
Intermediate life history,Bankruptcy,High frequency,no_RA_intermidiate_higher_frequency,1.0,3.640877691759057
Intermediate life history,Bankruptcy,High frequency,no_RA_intermidiate_higher_frequency,2.0,3.582358090749258
Intermediate life history,Bankruptcy,High mortality,no_RA_intermidiate_higher_severity,0.25,4.244341029840356
Intermediate life history,Bankruptcy,High mortality,no_RA_intermidiate_higher_severity,0.5,4.274417151374112
Intermediate life history,Bankruptcy,High mortality,no_RA_intermidiate_higher_severity,1.0,4.343290789414059
Intermediate life history,Bankruptcy,High mortality,no_RA_intermidiate_higher_severity,2.0,4.328494966583051
Intermediate life history,Bankruptcy,High recurrence,no_RA_intermidiate_longer_duration,0.25,2.377834487951792
Intermediate life history,Bankruptcy,High recurrence,no_RA_intermidiate_longer_duration,0.5,2.411615963606798
Intermediate life history,Bankruptcy,High recurrence,no_RA_intermidiate_longer_duration,1.0,2.456632225928382
Intermediate life history,Bankruptcy,High recurrence,no_RA_intermidiate_longer_duration,2.0,2.472080943588327
Intermediate life history,Risk-averse,Base risk,RA_intermidiate,0.25,4.191050980491143
Intermediate life history,Risk-averse,Base risk,RA_intermidiate,0.5,4.314575964433007
Intermediate life history,Risk-averse,Base risk,RA_intermidiate,1.0,4.460864847172235
Intermediate life history,Risk-averse,Base risk,RA_intermidiate,2.0,4.258859176219261
Intermediate life history,Risk-averse,High frequency,RA_intermidiate_higher_frequency,0.25,6.957847094371476
Intermediate life history,Risk-averse,High frequency,RA_intermidiate_higher_frequency,0.5,7.2084773914753475
Intermediate life history,Risk-averse,High frequency,RA_intermidiate_higher_frequency,1.0,7.416478996708807
Intermediate life history,Risk-averse,High frequency,RA_intermidiate_higher_frequency,2.0,6.984855582726509
Intermediate life history,Risk-averse,High mortality,RA_intermidiate_higher_severity,0.25,7.816545354667559
Intermediate life history,Risk-averse,High mortality,RA_intermidiate_higher_severity,0.5,8.076184892615546
Intermediate life history,Risk-averse,High mortality,RA_intermidiate_higher_severity,1.0,8.269666412127744
Intermediate life history,Risk-averse,High mortality,RA_intermidiate_higher_severity,2.0,7.774039194500607
Intermediate life history,Risk-averse,High recurrence,RA_intermidiate_longer_duration,0.25,6.998932622013722
Intermediate life history,Risk-averse,High recurrence,RA_intermidiate_longer_duration,0.5,7.233476755001202
Intermediate life history,Risk-averse,High recurrence,RA_intermidiate_longer_duration,1.0,7.44695744884655
Intermediate life history,Risk-averse,High recurrence,RA_intermidiate_longer_duration,2.0,7.090765353544453
Fast life history,Bankruptcy,Base risk,no_RA_short,0.25,2.217089956466161
Fast life history,Bankruptcy,Base risk,no_RA_short,0.5,2.091300220958686
Fast life history,Bankruptcy,Base risk,no_RA_short,1.0,1.9786618147020165
Fast life history,Bankruptcy,Base risk,no_RA_short,2.0,1.8802126747097045
Fast life history,Bankruptcy,High frequency,no_RA_short_higher_frequency,0.25,2.560798838246101
Fast life history,Bankruptcy,High frequency,no_RA_short_higher_frequency,0.5,2.463552668423615
Fast life history,Bankruptcy,High frequency,no_RA_short_higher_frequency,1.0,2.2826035699902816
Fast life history,Bankruptcy,High frequency,no_RA_short_higher_frequency,2.0,2.144888902994991
Fast life history,Bankruptcy,High mortality,no_RA_short_higher_severity,0.25,3.0418297033603428
Fast life history,Bankruptcy,High mortality,no_RA_short_higher_severity,0.5,2.9505748136571595
Fast life history,Bankruptcy,High mortality,no_RA_short_higher_severity,1.0,2.8665849323819095
Fast life history,Bankruptcy,High mortality,no_RA_short_higher_severity,2.0,2.719655985336209
Fast life history,Bankruptcy,High recurrence,no_RA_short_longer_duration,0.25,2.514231110303765
Fast life history,Bankruptcy,High recurrence,no_RA_short_longer_duration,0.5,2.438076844821937
Fast life history,Bankruptcy,High recurrence,no_RA_short_longer_duration,1.0,2.4299067597018156
Fast life history,Bankruptcy,High recurrence,no_RA_short_longer_duration,2.0,2.3134344270978606
Fast life history,Risk-averse,Base risk,RA_short,0.25,2.4871915489399923
Fast life history,Risk-averse,Base risk,RA_short,0.5,2.563379879489732
Fast life history,Risk-averse,Base risk,RA_short,1.0,2.687541798089129
Fast life history,Risk-averse,Base risk,RA_short,2.0,2.6170580549780693
Fast life history,Risk-averse,High frequency,RA_short_higher_frequency,0.25,3.4029013295422663
Fast life history,Risk-averse,High frequency,RA_short_higher_frequency,0.5,3.522593318776728
Fast life history,Risk-averse,High frequency,RA_short_higher_frequency,1.0,3.671166779366818
Fast life history,Risk-averse,High frequency,RA_short_higher_frequency,2.0,3.5124397135613066
Fast life history,Risk-averse,High mortality,RA_short_higher_severity,0.25,3.5896888832253087
Fast life history,Risk-averse,High mortality,RA_short_higher_severity,0.5,3.7275023729340653
Fast life history,Risk-averse,High mortality,RA_short_higher_severity,1.0,3.8901609150759304
Fast life history,Risk-averse,High mortality,RA_short_higher_severity,2.0,3.732193116948989
Fast life history,Risk-averse,High recurrence,RA_short_longer_duration,0.25,3.4085342630023137
Fast life history,Risk-averse,High recurrence,RA_short_longer_duration,0.5,3.533633895811112
Fast life history,Risk-averse,High recurrence,RA_short_longer_duration,1.0,3.7134277131780613
Fast life history,Risk-averse,High recurrence,RA_short_longer_duration,2.0,3.631751798849161
Slow life history,Bankruptcy,Base risk,no_RA_long,0.25,2.4771802022054628
Slow life history,Bankruptcy,Base risk,no_RA_long,0.5,2.5039948624972017
Slow life history,Bankruptcy,Base risk,no_RA_long,1.0,2.525418824708441
Slow life history,Bankruptcy,Base risk,no_RA_long,2.0,2.5222032579858866
Slow life history,Bankruptcy,High frequency,no_RA_long_higher_frequency,0.25,1.7400932731960492
Slow life history,Bankruptcy,High frequency,no_RA_long_higher_frequency,0.5,1.8218522053360182
Slow life history,Bankruptcy,High frequency,no_RA_long_higher_frequency,1.0,1.8678827061215189
Slow life history,Bankruptcy,High frequency,no_RA_long_higher_frequency,2.0,1.8964305045562482
Slow life history,Bankruptcy,High mortality,no_RA_long_higher_severity,0.25,2.1572388863367804
Slow life history,Bankruptcy,High mortality,no_RA_long_higher_severity,0.5,2.179864862333624
Slow life history,Bankruptcy,High mortality,no_RA_long_higher_severity,1.0,2.198115307922035
Slow life history,Bankruptcy,High mortality,no_RA_long_higher_severity,2.0,2.207912279370484
Slow life history,Bankruptcy,High recurrence,no_RA_long_longer_duration,0.25,0.99409411639219
Slow life history,Bankruptcy,High recurrence,no_RA_long_longer_duration,0.5,1.015641514706388
Slow life history,Bankruptcy,High recurrence,no_RA_long_longer_duration,1.0,1.0323434872823742
Slow life history,Bankruptcy,High recurrence,no_RA_long_longer_duration,2.0,1.0425855341443027
Slow life history,Risk-averse,Base risk,RA_long,0.25,8.880199178909809
Slow life history,Risk-averse,Base risk,RA_long,0.5,9.105104487019117
Slow life history,Risk-averse,Base risk,RA_long,1.0,9.350851362142922
Slow life history,Risk-averse,Base risk,RA_long,2.0,8.92201047238473
Slow life history,Risk-averse,High frequency,RA_long_higher_frequency,0.25,13.741445525012127
Slow life history,Risk-averse,High frequency,RA_long_higher_frequency,0.5,14.254142868245923
Slow life history,Risk-averse,High frequency,RA_long_higher_frequency,1.0,14.510122712724726
Slow life history,Risk-averse,High frequency,RA_long_higher_frequency,2.0,13.663782973168933
Slow life history,Risk-averse,High mortality,RA_long_higher_severity,0.25,13.36797897699229
Slow life history,Risk-averse,High mortality,RA_long_higher_severity,0.5,13.764284736364843
Slow life history,Risk-averse,High mortality,RA_long_higher_severity,1.0,13.997676234259092
Slow life history,Risk-averse,High mortality,RA_long_higher_severity,2.0,13.17200369872597
Slow life history,Risk-averse,High recurrence,RA_long_longer_duration,0.25,12.9806092065836
Slow life history,Risk-averse,High recurrence,RA_long_longer_duration,0.5,13.364840381430074
Slow life history,Risk-averse,High recurrence,RA_long_longer_duration,1.0,13.62832273191166
Slow life history,Risk-averse,High recurrence,RA_long_longer_duration,2.0,12.861816427143625
