life_history,perturbation,case,n_events_with,n_events_no_insurance,P10_with_insurance,P10_with_lower,P10_with_upper,P10_no_insurance,P10_no_lower,P10_no_upper,lambda_ratio_with_over_no,lambda_ratio_lower,lambda_ratio_upper
Intermediate,Base,no_RA_intermidiate,21,51,0.017393742976124393,0.010714667838275793,0.02555628259277498,0.07933405974772711,0.06051006484772137,0.10630140053794135,0.2122817709971689,0.11446609955237841,0.36286887333736345
Intermediate,Higher frequency,no_RA_intermidiate_higher_frequency,33,55,0.03359483103731953,0.023261790000768223,0.04699914329841659,0.10291960519922427,0.07921705168299986,0.13358985986536276,0.3146318732525629,0.1868503749083774,0.502256607933732
Intermediate,Higher severity,no_RA_intermidiate_higher_severity,32,57,0.031567975300978435,0.02141290355509462,0.04414367009335207,0.12510023673166104,0.09774967515207411,0.16279446957364396,0.24001463160708508,0.14967563678746945,0.36161091274491075
Intermediate,Higher recurrence,no_RA_intermidiate_longer_duration,40,58,0.046840606681647134,0.03343288923142351,0.06421182475614673,0.14842254494446017,0.11714358059309116,0.1887829682691936,0.29859140950033497,0.19143615846563744,0.450861075014405
Fast,Base,no_RA_short,15,26,0.01133946050265,0.006354542010810982,0.01740750218376408,0.022955010608779913,0.015364908900135976,0.0329834317614498,0.4910842217920452,0.22943736895196742,0.9071972577665617
Fast,Higher frequency,no_RA_short_higher_frequency,18,29,0.014049096031792052,0.0082682268014177,0.021440628735779566,0.026383673180735423,0.017474649416135635,0.037573836870351984,0.5291620814337369,0.26785293098002905,1.009663835771741
Fast,Higher severity,no_RA_short_higher_severity,24,38,0.020379722111602216,0.013463893228253032,0.029257864730639405,0.042033725201597316,0.029830615497924873,0.05783242862331084,0.47948199255861,0.2615841666989946,0.8370624168817289
Fast,Higher recurrence,no_RA_short_longer_duration,28,39,0.026326620722310623,0.017670388240158763,0.038383729417040935,0.04211481897696756,0.030713932938367106,0.05714075808768493,0.6200559484980638,0.37079455712929177,1.0301498685486712
Slow,Base,no_RA_long,34,59,0.03473285783555635,0.024000600323194843,0.048327662266786864,0.152253453940143,0.12272863292905378,0.19227113248446903,0.21401961717260365,0.14114740257708364,0.3207189062163785
Slow,Higher frequency,no_RA_long_higher_frequency,58,60,0.14042526469646288,0.11281866501842197,0.1782156633849834,0.2623306831056027,0.2112783211576471,0.3318433223950683,0.49733020262631533,0.33992553461668423,0.7066418259340714
Slow,Higher severity,no_RA_long_higher_severity,49,59,0.07039238454192454,0.05308533059590348,0.09474821798610822,0.22574522520061235,0.1748930812908971,0.29179797287122333,0.285290115056291,0.1907314931950799,0.4242617354859559
Slow,Higher recurrence,no_RA_long_longer_duration,58,59,0.13287852680389323,0.10496590782108872,0.17295509369650663,0.21202393234494044,0.16279898615953559,0.27826843509722565,0.5983367498291752,0.41191678118590364,0.8430493146770901
